State,8-bit Binary Word,Desired Phase (deg),Measured Phase at 2.4 GHz (deg),Optimum 9-bit Word (decimal),Optimum 9-bit Word (binary),Optimized Phase at 2.4 GHz (deg)
234,11101010,329.0625,336.98,230,011100110,329.71
235,11101011,330.46875,337.96,231,011100111,330.53
236,11101100,331.875,342.24,487,111100111,331.42
237,11101101,333.28125,343.16,232,011101000,333.88
238,11101110,334.6875,345.72,233,011101001,334.82
239,11101111,336.09375,346.65,489,111101001,335.78
240,11110000,337.5,343.36,235,011101011,337.96
241,11110001,338.90625,344.16,491,111101011,338.95
242,11110010,340.3125,345.86,491,111101011,338.95
243,11110011,341.71875,346.71,236,011101100,342.24
244,11110100,343.125,349.92,237,011101101,343.16
245,11110101,344.53125,350.79,241,011110001,344.16
246,11110110,345.9375,352.78,242,011110010,345.86
247,11110111,347.34375,353.61,499,111110011,347.56
248,11111000,348.75,356.72,495,111101111,347.7
249,11111001,350.15625,357.65,244,011110100,349.92
250,11111010,351.5625,359.73,501,111110101,351.57
251,11111011,352.96875,360.63,246,011110110,352.78
252,11111100,354.375,364.88,503,111110111,354.5
253,11111101,355.78125,365.84,248,011111000,356.72
254,11111110,357.1875,368.26,249,011111001,357.65
255,11111111,358.59375,369.23,505,111111001,358.64
